"State","District","Crop","Year","Season","Area","Area Units","Production","Production Units","Yield"
"Andhra Pradesh","EAST GODAVARI","Arhar/Tur","2003-04","Kharif","1274.0","Hectare","539.0","Tonnes","0.4230769230769231"
"Andhra Pradesh","GUNTUR","Arhar/Tur","2001-02","Kharif","39203.0","Hectare","29873.0","Tonnes","0.7620080095911027"
"Andhra Pradesh","GUNTUR","Arhar/Tur","2001-02","Rabi","770.0","Hectare","587.0","Tonnes","0.7623376623376623"
"Andhra Pradesh","GUNTUR","Arhar/Tur","2002-03","Kharif","37456.0","Hectare","19290.0","Tonnes","0.5150042716787697"
"Andhra Pradesh","GUNTUR","Arhar/Tur","2002-03","Rabi","1314.0","Hectare","677.0","Tonnes","0.515220700152207"
"Andhra Pradesh","GUNTUR","Arhar/Tur","2003-04","Kharif","34020.0","Hectare","17758.0","Tonnes","0.5219870664315108"
"Andhra Pradesh","GUNTUR","Arhar/Tur","2003-04","Rabi","762.0","Hectare","398.0","Tonnes","0.5223097112860893"
"Andhra Pradesh","KADAPA","Arhar/Tur","2001-02","Kharif","12059.0","Hectare","7139.0","Tonnes","0.592005970644332"
"Andhra Pradesh","KADAPA","Arhar/Tur","2001-02","Rabi","67.0","Hectare","40.0","Tonnes","0.5970149253731343"
"Andhra Pradesh","KADAPA","Arhar/Tur","2002-03","Kharif","15983.0","Hectare","2605.0","Tonnes","0.16298567227679409"
"Andhra Pradesh","KADAPA","Arhar/Tur","2002-03","Rabi","36.0","Hectare","6.0","Tonnes","0.16666666666666666"
"Andhra Pradesh","KADAPA","Arhar/Tur","2003-04","Kharif","29594.0","Hectare","8997.0","Tonnes","0.30401432722849225"
"Andhra Pradesh","KADAPA","Arhar/Tur","2003-04","Rabi","75.0","Hectare","23.0","Tonnes","0.30666666666666664"
"Andhra Pradesh","KARIMNAGAR","Arhar/Tur","2001-02","Kharif","4999.0","Hectare","2649.0","Tonnes","0.5299059811962392"
"Andhra Pradesh","KARIMNAGAR","Arhar/Tur","2001-02","Rabi","684.0","Hectare","363.0","Tonnes","0.5307017543859649"
"Andhra Pradesh","KARIMNAGAR","Arhar/Tur","2002-03","Kharif","6620.0","Hectare","1629.0","Tonnes","0.24607250755287008"
"Andhra Pradesh","KARIMNAGAR","Arhar/Tur","2002-03","Rabi","512.0","Hectare","126.0","Tonnes","0.24609375"
"Andhra Pradesh","KARIMNAGAR","Arhar/Tur","2003-04","Kharif","11352.0","Hectare","4813.0","Tonnes","0.4239781536293164"
"Andhra Pradesh","KARIMNAGAR","Arhar/Tur","2003-04","Rabi","889.0","Hectare","377.0","Tonnes","0.42407199100112486"
"Andhra Pradesh","KHAMMAM","Arhar/Tur","2001-02","Kharif","21010.0","Hectare","9980.0","Tonnes","0.4750118990956687"
"Andhra Pradesh","KHAMMAM","Arhar/Tur","2001-02","Rabi","635.0","Hectare","302.0","Tonnes","0.4755905511811024"
"Andhra Pradesh","KHAMMAM","Arhar/Tur","2002-03","Kharif","24448.0","Hectare","10195.0","Tonnes","0.41700752617801046"
"Andhra Pradesh","KHAMMAM","Arhar/Tur","2002-03","Rabi","777.0","Hectare","324.0","Tonnes","0.416988416988417"
"Andhra Pradesh","KHAMMAM","Arhar/Tur","2003-04","Kharif","29176.0","Hectare","15405.0","Tonnes","0.5280024677817384"
"Andhra Pradesh","KHAMMAM","Arhar/Tur","2003-04","Rabi","774.0","Hectare","409.0","Tonnes","0.5284237726098191"
"Andhra Pradesh","KRISHNA","Arhar/Tur","2001-02","Kharif","7714.0","Hectare","4922.0","Tonnes","0.6380606689136634"
"Andhra Pradesh","KRISHNA","Arhar/Tur","2001-02","Rabi","80.0","Hectare","51.0","Tonnes","0.6375"
"Andhra Pradesh","KRISHNA","Arhar/Tur","2002-03","Kharif","7425.0","Hectare","3438.0","Tonnes","0.463030303030303"
"Andhra Pradesh","KRISHNA","Arhar/Tur","2002-03","Rabi","126.0","Hectare","58.0","Tonnes","0.4603174603174603"
"Andhra Pradesh","KRISHNA","Arhar/Tur","2003-04","Kharif","9632.0","Hectare","6357.0","Tonnes","0.6599875415282392"
"Andhra Pradesh","KURNOOL","Arhar/Tur","2001-02","Kharif","26743.0","Hectare","10216.0","Tonnes","0.38200650637550015"
"Andhra Pradesh","KURNOOL","Arhar/Tur","2001-02","Rabi","958.0","Hectare","366.0","Tonnes","0.38204592901878914"
"Andhra Pradesh","KURNOOL","Arhar/Tur","2002-03","Kharif","31397.0","Hectare","13187.0","Tonnes","0.42000828104595983"
"Andhra Pradesh","KURNOOL","Arhar/Tur","2002-03","Rabi","622.0","Hectare","261.0","Tonnes","0.41961414790996787"
"Andhra Pradesh","KURNOOL","Arhar/Tur","2003-04","Kharif","33380.0","Hectare","13552.0","Tonnes","0.405991611743559"
"Andhra Pradesh","KURNOOL","Arhar/Tur","2003-04","Rabi","197.0","Hectare","80.0","Tonnes","0.40609137055837563"
"Andhra Pradesh","MAHBUBNAGAR","Arhar/Tur","2001-02","Kharif","57586.0","Hectare","16297.0","Tonnes","0.2830028131837599"
"Andhra Pradesh","MAHBUBNAGAR","Arhar/Tur","2001-02","Rabi","7.0","Hectare","2.0","Tonnes","0.2857142857142857"
"Andhra Pradesh","MAHBUBNAGAR","Arhar/Tur","2002-03","Kharif","58008.0","Hectare","24073.0","Tonnes","0.41499448351951457"
"Andhra Pradesh","MAHBUBNAGAR","Arhar/Tur","2003-04","Kharif","60205.0","Hectare","24022.0","Tonnes","0.39900340503280457"
"Andhra Pradesh","MAHBUBNAGAR","Arhar/Tur","2003-04","Rabi","2.0","Hectare","1.0","Tonnes","0.5"
"Andhra Pradesh","MEDAK","Arhar/Tur","2001-02","Kharif","19399.0","Hectare","9971.0","Tonnes","0.5139955667817929"
"Andhra Pradesh","MEDAK","Arhar/Tur","2002-03","Kharif","18894.0","Hectare","6122.0","Tonnes","0.3240182068381497"
"Andhra Pradesh","MEDAK","Arhar/Tur","2002-03","Rabi","44.0","Hectare","14.0","Tonnes","0.3181818181818182"
"Andhra Pradesh","MEDAK","Arhar/Tur","2003-04","Kharif","24559.0","Hectare","12746.0","Tonnes","0.5189950730892952"
"Andhra Pradesh","MEDAK","Arhar/Tur","2003-04","Rabi","7.0","Hectare","4.0","Tonnes","0.5714285714285714"
"Andhra Pradesh","NALGONDA","Arhar/Tur","2001-02","Kharif","23250.0","Hectare","6092.0","Tonnes","0.2620215053763441"
"Andhra Pradesh","NALGONDA","Arhar/Tur","2001-02","Rabi","391.0","Hectare","102.0","Tonnes","0.2608695652173913"
"Andhra Pradesh","NALGONDA","Arhar/Tur","2002-03","Kharif","24912.0","Hectare","5281.0","Tonnes","0.21198619139370584"
"Andhra Pradesh","NALGONDA","Arhar/Tur","2002-03","Rabi","713.0","Hectare","151.0","Tonnes","0.211781206171108"
"Andhra Pradesh","NALGONDA","Arhar/Tur","2003-04","Kharif","37021.0","Hectare","18844.0","Tonnes","0.509008400637476"
"Andhra Pradesh","NALGONDA","Arhar/Tur","2003-04","Rabi","865.0","Hectare","440.0","Tonnes","0.5086705202312138"
"Andhra Pradesh","NIZAMABAD","Arhar/Tur","2001-02","Kharif","2615.0","Hectare","565.0","Tonnes","0.21606118546845124"
"Andhra Pradesh","NIZAMABAD","Arhar/Tur","2001-02","Rabi","40.0","Hectare","9.0","Tonnes","0.225"
"Andhra Pradesh","NIZAMABAD","Arhar/Tur","2002-03","Kharif","2004.0","Hectare","749.0","Tonnes","0.37375249500998003"
"Andhra Pradesh","NIZAMABAD","Arhar/Tur","2002-03","Rabi","1.0","Hectare","","Tonnes","0.0"
"Andhra Pradesh","NIZAMABAD","Arhar/Tur","2003-04","Kharif","2420.0","Hectare","813.0","Tonnes","0.3359504132231405"
"Andhra Pradesh","NIZAMABAD","Arhar/Tur","2003-04","Rabi","9.0","Hectare","3.0","Tonnes","0.3333333333333333"
"Andhra Pradesh","PRAKASAM","Arhar/Tur","2001-02","Kharif","60581.0","Hectare","29139.0","Tonnes","0.4809923903534111"
"Andhra Pradesh","PRAKASAM","Arhar/Tur","2001-02","Rabi","667.0","Hectare","321.0","Tonnes","0.48125937031484256"
"Andhra Pradesh","PRAKASAM","Arhar/Tur","2002-03","Kharif","54781.0","Hectare","12271.0","Tonnes","0.22400102225224075"
"Andhra Pradesh","PRAKASAM","Arhar/Tur","2002-03","Rabi","650.0","Hectare","146.0","Tonnes","0.2246153846153846"
"Andhra Pradesh","PRAKASAM","Arhar/Tur","2003-04","Kharif","78397.0","Hectare","27125.0","Tonnes","0.3459953824763703"
"Andhra Pradesh","PRAKASAM","Arhar/Tur","2003-04","Rabi","398.0","Hectare","138.0","Tonnes","0.34673366834170855"
"Andhra Pradesh","RANGAREDDI","Arhar/Tur","2001-02","Kharif","33183.0","Hectare","14567.0","Tonnes","0.43898984419732995"
"Andhra Pradesh","RANGAREDDI","Arhar/Tur","2002-03","Kharif","32736.0","Hectare","19151.0","Tonnes","0.585013440860215"
"Andhra Pradesh","RANGAREDDI","Arhar/Tur","2003-04","Kharif","35790.0","Hectare","26306.0","Tonnes","0.735009779267952"
"Andhra Pradesh","SPSR NELLORE","Arhar/Tur","2001-02","Kharif","643.0","Hectare","375.0","Tonnes","0.583203732503888"
"Andhra Pradesh","SPSR NELLORE","Arhar/Tur","2001-02","Rabi","108.0","Hectare","63.0","Tonnes","0.5833333333333334"
"Andhra Pradesh","SPSR NELLORE","Arhar/Tur","2002-03","Kharif","402.0","Hectare","141.0","Tonnes","0.35074626865671643"
"Andhra Pradesh","SPSR NELLORE","Arhar/Tur","2002-03","Rabi","579.0","Hectare","203.0","Tonnes","0.35060449050086356"
"Andhra Pradesh","SPSR NELLORE","Arhar/Tur","2003-04","Kharif","2628.0","Hectare","1112.0","Tonnes","0.4231354642313546"
"Andhra Pradesh","SPSR NELLORE","Arhar/Tur","2003-04","Rabi","586.0","Hectare","248.0","Tonnes","0.4232081911262799"
"Andhra Pradesh","SRIKAKULAM","Arhar/Tur","2001-02","Kharif","1395.0","Hectare","813.0","Tonnes","0.5827956989247312"
"Andhra Pradesh","SRIKAKULAM","Arhar/Tur","2002-03","Kharif","1523.0","Hectare","533.0","Tonnes","0.3499671700590939"
"Andhra Pradesh","SRIKAKULAM","Arhar/Tur","2003-04","Kharif","1573.0","Hectare","665.0","Tonnes","0.4227590591226955"
"Andhra Pradesh","VISAKHAPATANAM","Arhar/Tur","2001-02","Kharif","4847.0","Hectare","1507.0","Tonnes","0.31091396740251703"
"Andhra Pradesh","VISAKHAPATANAM","Arhar/Tur","2001-02","Rabi","47.0","Hectare","15.0","Tonnes","0.3191489361702128"
"Andhra Pradesh","VISAKHAPATANAM","Arhar/Tur","2002-03","Kharif","4701.0","Hectare","1575.0","Tonnes","0.33503509891512445"
"Andhra Pradesh","VISAKHAPATANAM","Arhar/Tur","2003-04","Kharif","4274.0","Hectare","2188.0","Tonnes","0.5119326158165652"
"Andhra Pradesh","VISAKHAPATANAM","Arhar/Tur","2003-04","Rabi","6.0","Hectare","3.0","Tonnes","0.5"
"Andhra Pradesh","VIZIANAGARAM","Arhar/Tur","2001-02","Kharif","1313.0","Hectare","765.0","Tonnes","0.5826351865955827"
"Andhra Pradesh","VIZIANAGARAM","Arhar/Tur","2002-03","Kharif","1587.0","Hectare","555.0","Tonnes","0.3497164461247637"
"Andhra Pradesh","VIZIANAGARAM","Arhar/Tur","2003-04","Kharif","1871.0","Hectare","791.0","Tonnes","0.4227685729556387"
"Andhra Pradesh","WARANGAL","Arhar/Tur","2001-02","Kharif","24587.0","Hectare","13302.0","Tonnes","0.5410176109326067"
"Andhra Pradesh","WARANGAL","Arhar/Tur","2001-02","Rabi","318.0","Hectare","172.0","Tonnes","0.5408805031446541"
"Andhra Pradesh","WARANGAL","Arhar/Tur","2002-03","Kharif","21213.0","Hectare","9227.0","Tonnes","0.43496912270777355"
"Andhra Pradesh","WARANGAL","Arhar/Tur","2002-03","Rabi","1782.0","Hectare","775.0","Tonnes","0.43490460157126826"
"Andhra Pradesh","WARANGAL","Arhar/Tur","2003-04","Kharif","27449.0","Hectare","11501.0","Tonnes","0.418995227512842"
"Andhra Pradesh","WARANGAL","Arhar/Tur","2003-04","Rabi","1442.0","Hectare","604.0","Tonnes","0.4188626907073509"
"Andhra Pradesh","WEST GODAVARI","Arhar/Tur","2001-02","Kharif","182.0","Hectare","106.0","Tonnes","0.5824175824175825"
"Andhra Pradesh","WEST GODAVARI","Arhar/Tur","2001-02","Rabi","10.0","Hectare","6.0","Tonnes","0.6"
"Andhra Pradesh","WEST GODAVARI","Arhar/Tur","2002-03","Kharif","245.0","Hectare","86.0","Tonnes","0.3510204081632653"
"Andhra Pradesh","WEST GODAVARI","Arhar/Tur","2002-03","Rabi","82.0","Hectare","29.0","Tonnes","0.35365853658536583"
"Andhra Pradesh","WEST GODAVARI","Arhar/Tur","2003-04","Kharif","577.0","Hectare","244.0","Tonnes","0.42287694974003465"
"Andhra Pradesh","WEST GODAVARI","Arhar/Tur","2003-04","Rabi","119.0","Hectare","50.0","Tonnes","0.42016806722689076"
"Andhra Pradesh","ADILABAD","Bajra","2001-02","Rabi","628.0","Hectare","293.0","Tonnes","0.46656050955414013"
"Andhra Pradesh","ADILABAD","Bajra","2002-03","Rabi","960.0","Hectare","455.0","Tonnes","0.4739583333333333"
"Andhra Pradesh","ADILABAD","Bajra","2003-04","Rabi","1820.0","Hectare","1112.0","Tonnes","0.610989010989011"
"Andhra Pradesh","ANANTAPUR","Bajra","2001-02","Kharif","1595.0","Hectare","526.0","Tonnes","0.32978056426332286"
"Andhra Pradesh","ANANTAPUR","Bajra","2001-02","Rabi","27.0","Hectare","9.0","Tonnes","0.3333333333333333"
"Andhra Pradesh","ANANTAPUR","Bajra","2002-03","Kharif","1925.0","Hectare","581.0","Tonnes","0.3018181818181818"
"Andhra Pradesh","ANANTAPUR","Bajra","2002-03","Rabi","129.0","Hectare","39.0","Tonnes","0.3023255813953488"
"Andhra Pradesh","ANANTAPUR","Bajra","2003-04","Kharif","2280.0","Hectare","378.0","Tonnes","0.16578947368421051"
"Andhra Pradesh","ANANTAPUR","Bajra","2003-04","Rabi","113.0","Hectare","19.0","Tonnes","0.168141592920354"
"Andhra Pradesh","CHITTOOR","Bajra","2001-02","Kharif","2934.0","Hectare","3556.0","Tonnes","1.2119972733469666"
"Andhra Pradesh","CHITTOOR","Bajra","2001-02","Rabi","258.0","Hectare","313.0","Tonnes","1.2131782945736433"
"Andhra Pradesh","CHITTOOR","Bajra","2002-03","Kharif","2366.0","Hectare","1171.0","Tonnes","0.49492814877430263"
"Andhra Pradesh","CHITTOOR","Bajra","2002-03","Rabi","42.0","Hectare","21.0","Tonnes","0.5"
"Andhra Pradesh","CHITTOOR","Bajra","2003-04","Kharif","2166.0","Hectare","3611.0","Tonnes","1.6671283471837488"
"Andhra Pradesh","CHITTOOR","Bajra","2003-04","Rabi","36.0","Hectare","60.0","Tonnes","1.6666666666666667"
"Andhra Pradesh","EAST GODAVARI","Bajra","2001-02","Kharif","2219.0","Hectare","2048.0","Tonnes","0.9229382604776927"
"Andhra Pradesh","EAST GODAVARI","Bajra","2002-03","Kharif","1196.0","Hectare","1051.0","Tonnes","0.8787625418060201"
"Andhra Pradesh","EAST GODAVARI","Bajra","2003-04","Kharif","2698.0","Hectare","2301.0","Tonnes","0.8528539659006672"
"Andhra Pradesh","GUNTUR","Bajra","2001-02","Kharif","77.0","Hectare","76.0","Tonnes","0.987012987012987"
"Andhra Pradesh","GUNTUR","Bajra","2001-02","Rabi","43.0","Hectare","43.0","Tonnes","1.0"
"Andhra Pradesh","GUNTUR","Bajra","2002-03","Kharif","419.0","Hectare","356.0","Tonnes","0.8496420047732697"
"Andhra Pradesh","GUNTUR","Bajra","2002-03","Rabi","6.0","Hectare","5.0","Tonnes","0.8333333333333334"
"Andhra Pradesh","GUNTUR","Bajra","2003-04","Kharif","16082.0","Hectare","21839.0","Tonnes","1.3579778634498196"
"Andhra Pradesh","GUNTUR","Bajra","2003-04","Rabi","197.0","Hectare","268.0","Tonnes","1.3604060913705585"
"Andhra Pradesh","KADAPA","Bajra","2001-02","Kharif","1395.0","Hectare","2514.0","Tonnes","1.8021505376344087"
